銘柄コード,会社名,優先市場,業種
4342,セコム上信越,東証2,サービス業
4343,イオンファンタジー,東証1,サービス業
4344,ソースネクスト,東証1,情報・通信業
4345,シーティーエス,東証1,サービス業
4346,ネクシィーズG,東証1,サービス業
4347,ブロードメディア,ｼﾞｬｽﾀﾞｯｸ,サービス業
4348,インフォコム,東証1,情報・通信業
4350,メディカルシステムネットワーク,東証1,小売業
4351,山田債権回収管理総合事務所,ｼﾞｬｽﾀﾞｯｸ,その他金融業
4355,ロングライフホールディング,ｼﾞｬｽﾀﾞｯｸ,サービス業
4356,応用技術,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4361,川口化学工業,東証2,化学
4362,日本精化,東証1,化学
4364,マナック,東証2,化学
4365,松本油脂製薬,ｼﾞｬｽﾀﾞｯｸ,化学
4366,ダイトーケミックス,東証2,化学
4367,広栄化学工業,東証2,化学
4368,扶桑化学工業,東証1,化学
4369,トリケミカル研究所,東証1,化学
4380,Mマート,マザーズ,情報・通信業
4381,ビープラッツ,マザーズ,情報・通信業
4382,HEROZ,東証1,情報・通信業
4384,ラクスル,東証1,情報・通信業
4385,メルカリ,マザーズ,情報・通信業
4386,SIG,東証2,情報・通信業
4387,ZUU,マザーズ,情報・通信業
4388,エーアイ,マザーズ,情報・通信業
4389,プロパティデータバンク,マザーズ,情報・通信業
4390,IPS,マザーズ,情報・通信業
4391,ロジザード,マザーズ,情報・通信業
4392,FIG,東証1,情報・通信業
4393,バンク･オブ･イノベーション,マザーズ,情報・通信業
4394,エクスモーション,マザーズ,情報・通信業
4395,アクリート,マザーズ,情報・通信業
4396,システムサポート,東証1,情報・通信業
4397,チームスピリット,マザーズ,情報・通信業
4398,ブロードバンドセキュリティ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4399,くふうカンパニー,マザーズ,情報・通信業
4401,ADEKA,東証1,化学
4403,日油,東証1,化学
4404,ミヨシ油脂,東証1,食料品
4406,新日本理化,東証1,化学
4409,東邦化学工業,東証2,化学
4410,ハリマ化成G,東証1,化学
4420,イーソル,東証1,情報・通信業
4421,ディ･アイ･システム,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4422,VALUENEX,マザーズ,情報・通信業
4423,アルテリア･ネットワークス,東証1,情報・通信業
4424,Amazia,マザーズ,情報・通信業
4425,Kudan,マザーズ,情報・通信業
4427,EduLab,マザーズ,情報・通信業
4428,シノプス,マザーズ,情報・通信業
4429,リックソフト,マザーズ,情報・通信業
4430,東海ソフト,東証1,情報・通信業
4431,スマレジ,マザーズ,情報・通信業
4434,サーバーワークス,マザーズ,情報・通信業
4435,カオナビ,マザーズ,情報・通信業
4436,ミンカブ･ジ･インフォノイド,マザーズ,情報・通信業
4437,gooddaysHD,マザーズ,情報・通信業
4438,Welby,マザーズ,情報・通信業
4439,東名,マザーズ,情報・通信業
4440,ヴィッツ,マザーズ,情報・通信業
4441,トビラシステムズ,マザーズ,情報・通信業
4442,バルテス,マザーズ,情報・通信業
4443,Sansan,マザーズ,情報・通信業
4444,インフォネット,マザーズ,情報・通信業
4445,リビン･テクノロジーズ,マザーズ,情報・通信業
4446,Link-U,マザーズ,情報・通信業
4448,Chatwork,マザーズ,情報・通信業
4449,ギフティ,マザーズ,情報・通信業
4450,パワーソリューションズ,マザーズ,情報・通信業
4452,花王,東証1,化学
4461,第一工業製薬,東証1,化学
4462,石原ケミカル,東証1,化学
4463,日華化学,東証1,化学
4464,ソフト99コーポレーション,東証2,化学
4465,ニイタカ,東証1,化学
4471,三洋化成工業,東証1,化学
4475,HENNGE,マザーズ,情報・通信業
4476,AI CROSS,マザーズ,情報・通信業
4477,BASE,マザーズ,情報・通信業
4478,フリー,マザーズ,情報・通信業
4479,マクアケ,マザーズ,情報・通信業
4480,メドレー,マザーズ,情報・通信業
4482,ウィルズ,マザーズ,情報・通信業
4484,ランサーズ,マザーズ,情報・通信業
4485,JTOWER,マザーズ,情報・通信業
4486,ユナイトアンドグロウ,マザーズ,情報・通信業
4487,スペースマーケット,マザーズ,情報・通信業
4488,AI inside,マザーズ,情報・通信業
4490,ビザスク,マザーズ,情報・通信業
4491,コンピューターマネージメント,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4492,ゼネテック,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4493,サイバーセキュリティクラウド,マザーズ,情報・通信業
4502,武田薬品工業,東証1,医薬品
4503,アステラス製薬,東証1,医薬品
4506,大日本住友製薬,東証1,医薬品
4507,塩野義製薬,東証1,医薬品
4512,わかもと製薬,東証1,医薬品
4514,あすか製薬,東証1,医薬品
4516,日本新薬,東証1,医薬品
4517,ビオフェルミン製薬,東証1,医薬品
4519,中外製薬,東証1,医薬品
4521,科研製薬,東証1,医薬品
4523,エーザイ,東証1,医薬品
4524,森下仁丹,東証2,医薬品
4526,理研ビタミン,東証1,食料品
4527,ロート製薬,東証1,医薬品
4528,小野薬品工業,東証1,医薬品
4530,久光製薬,東証1,医薬品
4531,有機合成薬品工業,東証1,化学
4534,持田製薬,東証1,医薬品
4536,参天製薬,東証1,医薬品
4538,扶桑薬品工業,東証1,医薬品
4539,日本ケミファ,東証1,医薬品
4540,ツムラ,東証1,医薬品
4541,日医工,東証1,医薬品
4543,テルモ,東証1,精密機器
4544,みらかHD,東証1,サービス業
4547,キッセイ薬品工業,東証1,医薬品
4548,生化学工業,東証1,医薬品
4549,栄研化学,東証1,医薬品
4550,日水製薬,東証1,医薬品
4551,鳥居薬品,東証1,医薬品
4552,JCRファーマ,東証1,医薬品
4553,東和薬品,東証1,医薬品
4554,富士製薬工業,東証1,医薬品
4555,沢井製薬,東証1,医薬品
4556,カイノス,ｼﾞｬｽﾀﾞｯｸ,医薬品
4557,医学生物学研究所,ｼﾞｬｽﾀﾞｯｸ,医薬品
4558,中京医薬品,ｼﾞｬｽﾀﾞｯｸ,医薬品
4559,ゼリア新薬工業,東証1,医薬品
4563,アンジェス,マザーズ,医薬品
4564,オンコセラピー･サイエンス,マザーズ,医薬品
4565,そーせいG,マザーズ,医薬品
4568,第一三共,東証1,医薬品
4569,キョーリン製薬HD,東証1,医薬品
4570,免疫生物研究所,東証JQG,医薬品
4571,ナノキャリア,マザーズ,医薬品
4572,カルナバイオサイエンス,東証JQG,医薬品
4574,大幸薬品,東証1,医薬品
4575,キャンバス,マザーズ,医薬品
4576,デ･ウエスタン･セラピテクス研究所,東証JQG,医薬品
4577,ダイト,東証1,医薬品
4578,大塚HD,東証1,医薬品
4579,ラクオリア創薬,東証JQG,医薬品
4581,大正製薬HD,東証1,医薬品
4582,シンバイオ製薬,東証JQG,医薬品
4583,カイオム･バイオサイエンス,マザーズ,医薬品
4584,ジーンテクノサイエンス,マザーズ,医薬品
4586,メドレックス,マザーズ,医薬品
4587,ペプチドリーム,東証1,医薬品
4588,オンコリスバイオファーマ,マザーズ,医薬品
4591,リボミック,マザーズ,医薬品
4592,サンバイオ,マザーズ,医薬品
4593,ヘリオス,マザーズ,医薬品
4594,ブライトパス･バイオ,マザーズ,医薬品
4595,ミズホメディー,東証2,医薬品
4596,窪田製薬HD,マザーズ,医薬品
4597,ソレイジア･ファーマ,マザーズ,医薬品
4598,Delta-Fly Pharma,マザーズ,医薬品
4599,ステムリム,マザーズ,医薬品
4611,大日本塗料,東証1,化学
4612,日本ペイントHD,東証1,化学
4613,関西ペイント,東証1,化学
4615,神東塗料,東証1,化学
4616,川上塗料,東証2,化学
4617,中国塗料,東証1,化学
4619,日本特殊塗料,東証1,化学
4620,藤倉化成,東証1,化学
4621,ロックペイント,東証2,化学
4623,アサヒペン,東証2,化学
4624,イサム塗料,東証2,化学
4625,アトミクス,ｼﾞｬｽﾀﾞｯｸ,化学
4626,太陽HD,東証1,化学
4627,ナトコ,ｼﾞｬｽﾀﾞｯｸ,化学
4628,エスケー化研,ｼﾞｬｽﾀﾞｯｸ,化学
4629,大伸化学,ｼﾞｬｽﾀﾞｯｸ,化学
4631,DIC,東証1,化学
4633,サカタインクス,東証1,化学
4634,東洋インキSCHD,東証1,化学
4635,東京インキ,東証2,化学
4636,T&K TOKA,東証1,化学
4640,アンドール,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4641,アルプス技研,東証1,サービス業
4642,オリジナル設計,東証2,サービス業
4644,イマジニア,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4645,市進HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
4650,SDエンターテイメント,ｼﾞｬｽﾀﾞｯｸ,サービス業
4651,サニックス,東証1,サービス業
4653,ダイオーズ,東証1,サービス業
4657,環境管理センター,ｼﾞｬｽﾀﾞｯｸ,サービス業
4658,日本空調サービス,東証1,サービス業
4659,エイジス,ｼﾞｬｽﾀﾞｯｸ,サービス業
4661,オリエンタルランド,東証1,サービス業
4662,フォーカスシステムズ,東証1,情報・通信業
4664,アール･エス･シー,ｼﾞｬｽﾀﾞｯｸ,サービス業
4665,ダスキン,東証1,サービス業
4667,アイサンテクノロジー,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4668,明光ネットワークジャパン,東証1,サービス業
4669,ニッパンレンタル,ｼﾞｬｽﾀﾞｯｸ,サービス業
4671,ファルコHD,東証1,サービス業
4673,川崎地質,ｼﾞｬｽﾀﾞｯｸ,サービス業
4674,クレスコ,東証1,情報・通信業
4676,フジ･メディア･HD,東証1,情報・通信業
4678,秀英予備校,東証1,サービス業
4679,田谷,東証1,サービス業
4680,ラウンドワン,東証1,サービス業
4681,リゾートトラスト,東証1,サービス業
4684,オービック,東証1,情報・通信業
4685,菱友システムズ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4686,ジャストシステム,東証1,情報・通信業
4687,TDCソフト,東証1,情報・通信業
4689,ZHD,東証1,情報・通信業
4690,日本パレットプール,ｼﾞｬｽﾀﾞｯｸ,サービス業
4691,ワシントンホテル,東証2,サービス業
4694,ビー･エム･エル,東証1,サービス業
4696,ワタベウェディング,東証1,サービス業
4699,ウチダエスコ,ｼﾞｬｽﾀﾞｯｸ,サービス業
4704,トレンドマイクロ,東証1,情報・通信業
4705,クリップコーポレーション,ｼﾞｬｽﾀﾞｯｸ,サービス業
4707,キタック,ｼﾞｬｽﾀﾞｯｸ,サービス業
4708,りらいあコミュニケーションズ,東証1,サービス業
4709,IDHD,東証1,情報・通信業
4712,KeyHolder,ｼﾞｬｽﾀﾞｯｸ,サービス業
4714,リソー教育,東証1,サービス業
4716,日本オラクル,東証1,情報・通信業
4718,早稲田アカデミー,東証1,サービス業
4719,アルファシステムズ,東証1,情報・通信業
4720,城南進学研究社,ｼﾞｬｽﾀﾞｯｸ,サービス業
4722,フューチャー,東証1,情報・通信業
4725,CAC Holdings,東証1,情報・通信業
4726,SBテクノロジー,東証1,情報・通信業
4728,トーセ,東証1,情報・通信業
4732,ユー･エス･エス,東証1,サービス業
4733,オービックビジネスコンサルタント,東証1,情報・通信業
4734,ビーイング,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4735,京進,東証2,サービス業
4736,日本ラッド,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4739,伊藤忠テクノソリューションズ,東証1,情報・通信業
4743,アイティフォー,東証1,情報・通信業
4745,東京個別指導学院,東証1,サービス業
4746,東計電算,東証1,情報・通信業
4748,構造計画研究所,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4750,ダイサン,東証2,サービス業
4751,サイバーエージェント,東証1,サービス業
4752,昭和システムエンジニアリング,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4754,トスネット,ｼﾞｬｽﾀﾞｯｸ,サービス業
4755,楽天,東証1,サービス業
4760,アルファ,ｼﾞｬｽﾀﾞｯｸ,サービス業
4761,さくらケーシーエス,東証2,情報・通信業
4762,エックスネット,東証1,情報・通信業
4763,クリーク･アンド･リバー社,東証1,サービス業
4764,SAMURAI&J PARTNERS,東証JQG,情報・通信業
4765,モーニングスター,ｼﾞｬｽﾀﾞｯｸ,サービス業
4766,ピーエイ,東証2,サービス業
4767,テー･オー･ダブリュー,東証1,サービス業
4768,大塚商会,東証1,情報・通信業
4769,インフォメーションクリエーティブ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4770,図研エルミック,東証2,情報・通信業
4771,エフアンドエム,ｼﾞｬｽﾀﾞｯｸ,サービス業
4772,ストリームメディアコーポレーション,東証JQG,情報・通信業
4776,サイボウズ,東証1,情報・通信業
4777,ガーラ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4779,ソフトブレーン,東証1,情報・通信業
4781,日本ハウズイング,東証2,サービス業
4783,日本コンピュータ･ダイナミクス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4784,GMOアドパートナーズ,ｼﾞｬｽﾀﾞｯｸ,サービス業
4792,山田コンサルティングG,東証1,サービス業
4800,オリコン,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4801,セントラルスポーツ,東証1,サービス業
4809,パラカ,東証1,不動産業
4812,電通国際情報サービス,東証1,情報・通信業
4813,ACCESS,東証1,情報・通信業
4814,ネクストウェア,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4816,東映アニメーション,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4819,デジタルガレージ,東証1,情報・通信業
4820,EMシステムズ,東証1,情報・通信業
4824,メディアシーク,マザーズ,情報・通信業
4825,ウェザーニューズ,東証1,情報・通信業
4826,CIJ,東証1,情報・通信業
4828,ビジネスエンジニアリング,東証1,情報・通信業
4829,日本エンタープライズ,東証1,情報・通信業
4832,JFEシステムズ,東証2,情報・通信業
4833,ぱど,東証JQG,サービス業
4837,シダックス,ｼﾞｬｽﾀﾞｯｸ,サービス業
4838,スペースシャワーネットワーク,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4839,WOWOW,東証1,情報・通信業
4840,トライアイズ,東証JQG,サービス業
4845,スカラ,東証1,情報・通信業
4847,インテリジェント ウェイブ,東証1,情報・通信業
4848,フルキャストHD,東証1,サービス業
4849,エン･ジャパン,東証1,サービス業
4880,セルソース,マザーズ,医薬品
4901,富士フイルムHD,東証1,化学
4902,コニカミノルタ,東証1,電気機器
4911,資生堂,東証1,化学
4912,ライオン,東証1,化学
4914,高砂香料工業,東証1,化学
4917,マンダム,東証1,化学
4918,アイビー化粧品,ｼﾞｬｽﾀﾞｯｸ,化学
4919,ミルボン,東証1,化学
4920,日本色材工業研究所,ｼﾞｬｽﾀﾞｯｸ,化学
4921,ファンケル,東証1,化学
4922,コーセー,東証1,化学
4923,コタ,東証1,化学
4926,シーボン,東証1,化学
4927,ポーラ･オルビスHD,東証1,化学
4928,ノエビアHD,東証1,化学
4929,アジュバンコスメジャパン,東証1,化学
4931,新日本製薬,マザーズ,化学
4951,エステー,東証1,化学
4952,エス･ディー･エス バイオテック,東証2,化学
4955,アグロ カネショウ,東証1,化学
4956,コニシ,東証1,化学
4957,ヤスハラケミカル,東証2,化学
4958,長谷川香料,東証1,化学
4960,ケミプロ化成,東証2,化学
4962,互応化学工業,東証2,化学
4963,星光PMC,東証1,化学
4966,上村工業,東証2,化学
4967,小林製薬,東証1,化学
4968,荒川化学工業,東証1,化学
4970,東洋合成工業,ｼﾞｬｽﾀﾞｯｸ,化学
4971,メック,東証1,化学
4972,綜研化学,ｼﾞｬｽﾀﾞｯｸ,化学
4973,日本高純度化学,東証1,化学
4974,タカラバイオ,東証1,化学
4975,JCU,東証1,化学
4976,東洋ドライルーブ,ｼﾞｬｽﾀﾞｯｸ,化学
4977,新田ゼラチン,東証1,化学
4978,リプロセル,東証JQG,化学
4979,OATアグリオ,東証1,化学
4980,デクセリアルズ,東証1,化学
4985,アース製薬,東証1,化学
4987,寺岡製作所,東証2,化学
4990,昭和化学工業,東証2,化学
4992,北興化学工業,東証1,化学
4994,大成ラミック,東証1,化学
4996,クミアイ化学工業,東証1,化学
4997,日本農薬,東証1,化学
4998,フマキラー,東証2,化学
4999,セメダイン,東証2,化学
5008,東亜石油,東証2,石油・石炭製品
5009,富士興産,東証1,卸売業
5010,日本精蝋,東証2,石油・石炭製品
5011,ニチレキ,東証1,石油・石炭製品
5013,ユシロ化学工業,東証1,石油・石炭製品
5015,ビーピー･カストロール,東証1,石油・石炭製品
5017,富士石油,東証1,石油・石炭製品
5018,MORESCO,東証1,石油・石炭製品
5019,出光興産,東証1,石油・石炭製品
5020,JXTGHD,東証1,石油・石炭製品
5021,コスモエネルギーHD,東証1,石油・石炭製品
5070,ドラフト,マザーズ,建設業
5101,横浜ゴム,東証1,ゴム製品
5103,昭和HD,東証2,ゴム製品
5104,日東化工,東証2,ゴム製品
5105,TOYO TIRE,東証1,ゴム製品
5108,ブリヂストン,東証1,ゴム製品
5110,住友ゴム工業,東証1,ゴム製品
5121,藤倉コンポジット,東証1,ゴム製品
5122,オカモト,東証1,ゴム製品
5142,アキレス,東証1,化学
5161,西川ゴム工業,東証2,ゴム製品
5162,朝日ラバー,ｼﾞｬｽﾀﾞｯｸ,ゴム製品
5184,ニチリン,東証2,ゴム製品
5185,フコク,東証1,ゴム製品
5186,ニッタ,東証1,ゴム製品
5187,クリエートメディック,東証1,精密機器
5189,櫻護謨,東証2,ゴム製品
5191,住友理工,東証1,ゴム製品
5192,三ツ星ベルト,東証1,ゴム製品
5194,相模ゴム工業,東証2,ゴム製品
5195,バンドー化学,東証1,ゴム製品
5199,不二ラテックス,ｼﾞｬｽﾀﾞｯｸ,ゴム製品
5201,AGC,東証1,ガラス・土石製品
5202,日本板硝子,東証1,ガラス・土石製品
5204,石塚硝子,東証1,ガラス・土石製品
5208,有沢製作所,東証1,化学
5210,日本山村硝子,東証1,ガラス・土石製品
5212,不二硝子,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5214,日本電気硝子,東証1,ガラス・土石製品
5216,倉元製作所,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5217,テクノクオーツ,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5218,オハラ,東証1,ガラス・土石製品
5232,住友大阪セメント,東証1,ガラス・土石製品
5233,太平洋セメント,東証1,ガラス・土石製品
5237,ノザワ,東証2,ガラス・土石製品
5261,リソルHD,東証1,サービス業
5262,日本ヒューム,東証1,ガラス・土石製品
5268,旭コンクリート工業,東証2,ガラス・土石製品
5269,日本コンクリート工業,東証1,ガラス・土石製品
5271,トーヨーアサノ,東証2,ガラス・土石製品
5273,三谷セキサン,東証1,ガラス・土石製品
5277,スパンクリートコーポレーション,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5279,日本興業,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5280,ヨシコン,ｼﾞｬｽﾀﾞｯｸ,不動産業
5282,ジオスター,東証2,ガラス・土石製品
5283,高見澤,ｼﾞｬｽﾀﾞｯｸ,卸売業
5284,ヤマウ,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5285,ヤマックス,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5287,イトーヨーギョー,東証2,ガラス・土石製品
5288,アジアパイルHD,東証1,ガラス・土石製品
5290,ベルテクスコーポレーション,東証2,ガラス・土石製品
5301,東海カーボン,東証1,ガラス・土石製品
5302,日本カーボン,東証1,ガラス・土石製品
5304,SECカーボン,東証2,ガラス・土石製品
5310,東洋炭素,東証1,ガラス・土石製品
5331,ノリタケカンパニーリミテド,東証1,ガラス・土石製品
5332,TOTO,東証1,ガラス・土石製品
5333,日本碍子,東証1,ガラス・土石製品
5334,日本特殊陶業,東証1,ガラス・土石製品
5337,ダントーHD,東証1,ガラス・土石製品
5341,アサヒ衛陶,東証2,ガラス・土石製品
5344,MARUWA,東証1,ガラス・土石製品
5351,品川リフラクトリーズ,東証1,ガラス・土石製品
5352,黒崎播磨,東証1,ガラス・土石製品
5357,ヨータイ,東証1,ガラス・土石製品
5358,イソライト工業,東証1,ガラス・土石製品
5363,東京窯業,東証1,ガラス・土石製品
5367,ニッカトー,東証1,ガラス・土石製品
5380,新東,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5381,Mipox,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5384,フジミインコーポレーテッド,東証1,ガラス・土石製品
5386,鶴弥,東証2,ガラス・土石製品
5387,チヨダウーテ,ｼﾞｬｽﾀﾞｯｸ,ガラス・土石製品
5388,クニミネ工業,東証1,ガラス・土石製品
5391,エーアンドエーマテリアル,東証1,ガラス・土石製品
5393,ニチアス,東証1,ガラス・土石製品
5395,理研コランダム,東証2,ガラス・土石製品
5401,日本製鉄,東証1,鉄鋼
5406,神戸製鋼所,東証1,鉄鋼
5408,中山製鋼所,東証1,鉄鋼
5410,合同製鐵,東証1,鉄鋼
5411,ジェイ エフ イー HD,東証1,鉄鋼
5423,東京製鐵,東証1,鉄鋼
5440,共英製鋼,東証1,鉄鋼
5444,大和工業,東証1,鉄鋼
5445,東京鐵鋼,東証1,鉄鋼
5446,北越メタル,東証2,鉄鋼
5449,大阪製鐵,東証1,鉄鋼
5451,淀川製鋼所,東証1,鉄鋼
5458,高砂鐵工,東証2,鉄鋼
5463,丸一鋼管,東証1,鉄鋼
5464,モリ工業,東証1,鉄鋼
5471,大同特殊鋼,東証1,鉄鋼
5476,日本高周波鋼業,東証1,鉄鋼
5480,日本冶金工業,東証1,鉄鋼
5481,山陽特殊製鋼,東証1,鉄鋼
5482,愛知製鋼,東証1,鉄鋼
5484,東北特殊鋼,ｼﾞｬｽﾀﾞｯｸ,鉄鋼
5486,日立金属,東証1,鉄鋼
5491,日本金属,東証1,鉄鋼
5541,大平洋金属,東証1,鉄鋼
5542,新報国製鉄,ｼﾞｬｽﾀﾞｯｸ,鉄鋼
5563,新日本電工,東証1,鉄鋼
5602,栗本鐵工所,東証1,鉄鋼
5603,虹技,東証1,鉄鋼
5609,日本鋳造,東証2,鉄鋼
5610,大和重工,東証2,鉄鋼
5612,日本鋳鉄管,東証1,鉄鋼
5614,川金HD,東証2,鉄鋼
5631,日本製鋼所,東証1,機械
5632,三菱製鋼,東証1,鉄鋼
5644,メタルアート,東証2,鉄鋼
5658,日亜鋼業,東証1,鉄鋼
5659,日本精線,東証1,鉄鋼
5660,神鋼鋼線工業,東証2,鉄鋼
5690,リバーHD,東証2,鉄鋼
5695,パウダーテック,ｼﾞｬｽﾀﾞｯｸ,鉄鋼
5697,サンユウ,東証2,鉄鋼
5698,エンビプロ･HD,東証1,鉄鋼
5699,イボキン,ｼﾞｬｽﾀﾞｯｸ,鉄鋼
5702,大紀アルミニウム工業所,東証1,非鉄金属
5703,日本軽金属HD,東証1,非鉄金属
5704,JMC,マザーズ,非鉄金属
5706,三井金属鉱業,東証1,非鉄金属
5707,東邦亜鉛,東証1,非鉄金属
5711,三菱マテリアル,東証1,非鉄金属
5713,住友金属鉱山,東証1,非鉄金属
5714,DOWAHD,東証1,非鉄金属
5715,古河機械金属,東証1,非鉄金属
5721,エス･サイエンス,東証1,非鉄金属
5724,アサカ理研,ｼﾞｬｽﾀﾞｯｸ,非鉄金属
5726,大阪チタニウムテクノロジーズ,東証1,非鉄金属
5727,東邦チタニウム,東証1,非鉄金属
5729,日本精鉱,東証2,非鉄金属
5741,UACJ,東証1,非鉄金属
5742,エヌアイシ･オートテック,ｼﾞｬｽﾀﾞｯｸ,非鉄金属
5753,日本伸銅,東証2,非鉄金属
5757,CKサンエツ,東証1,非鉄金属
5781,東邦金属,東証2,非鉄金属
5801,古河電気工業,東証1,非鉄金属
5802,住友電気工業,東証1,非鉄金属
5803,フジクラ,東証1,非鉄金属
5805,昭和電線HD,東証1,非鉄金属
5807,東京特殊電線,東証1,非鉄金属
5809,タツタ電線,東証1,非鉄金属
5816,オーナンバ,東証2,非鉄金属
5817,JMACS,東証2,非鉄金属
5819,カナレ電気,東証1,非鉄金属
5820,三ッ星,ｼﾞｬｽﾀﾞｯｸ,非鉄金属
5821,平河ヒューテック,東証1,非鉄金属
5851,リョービ,東証1,非鉄金属
5852,アーレスティ,東証1,非鉄金属
5856,エルアイイーエイチ,東証2,小売業
5857,アサヒHD,東証1,非鉄金属
5900,ダイケン,ｼﾞｬｽﾀﾞｯｸ,金属製品
5901,東洋製罐GHD,東証1,金属製品
5902,ホッカンHD,東証1,金属製品
5903,シンポ,ｼﾞｬｽﾀﾞｯｸ,金属製品
5905,日本製罐,東証2,金属製品
5906,エムケー精工,ｼﾞｬｽﾀﾞｯｸ,金属製品
5907,JFEコンテイナー,東証2,金属製品
5909,コロナ,東証1,金属製品
5911,横河ブリッジHD,東証1,金属製品
5912,OSJBHD,東証1,建設業
5915,駒井ハルテック,東証1,金属製品
5918,瀧上工業,東証2,金属製品
5921,川岸工業,東証2,金属製品
5922,那須電機鉄工,東証2,金属製品
5923,高田機工,東証1,金属製品
5928,アルメタックス,東証2,金属製品
5929,三和HD,東証1,金属製品
5930,文化シヤッター,東証1,金属製品
5932,三協立山,東証1,金属製品
5933,アルインコ,東証1,金属製品
5935,元旦ビューティ工業,ｼﾞｬｽﾀﾞｯｸ,金属製品
5936,東洋シヤッター,東証1,金属製品
5938,LIXILG,東証1,金属製品
5939,大谷工業,ｼﾞｬｽﾀﾞｯｸ,金属製品
5940,不二サッシ,東証2,金属製品
5941,中西製作所,東証2,金属製品
5942,日本フイルコン,東証1,金属製品
5943,ノーリツ,東証1,金属製品
5945,天龍製鋸,ｼﾞｬｽﾀﾞｯｸ,金属製品
5946,長府製作所,東証1,金属製品
5947,リンナイ,東証1,金属製品
5949,ユニプレス,東証1,輸送用機器
5950,日本パワーファスニング,東証2,金属製品
5951,ダイニチ工業,東証1,金属製品
5952,アマテイ,東証2,金属製品
5955,ヤマシナ,東証2,金属製品
5956,トーソー,東証2,金属製品
5957,日東精工,東証1,金属製品
5959,岡部,東証1,金属製品
5962,浅香工業,東証2,その他製品
5964,東洋刃物,東証2,金属製品
5965,フジマック,東証2,金属製品
5966,京都機械工具,東証2,金属製品
5967,TONE,東証2,金属製品
5969,ロブテックス,東証2,金属製品
5970,ジーテクト,東証1,金属製品
5971,共和工業所,ｼﾞｬｽﾀﾞｯｸ,金属製品
5973,トーアミ,東証2,金属製品
5974,中国工業,東証2,金属製品
5975,東プレ,東証1,金属製品
5976,高周波熱錬,東証1,金属製品
5981,東京製綱,東証1,金属製品
5982,マルゼン,東証2,金属製品
5983,イワブチ,ｼﾞｬｽﾀﾞｯｸ,金属製品
5984,兼房,東証2,金属製品
5985,サンコール,東証1,金属製品
5986,モリテック スチール,東証1,金属製品
5987,オーネックス,ｼﾞｬｽﾀﾞｯｸ,金属製品
5988,パイオラックス,東証1,金属製品
5989,エイチワン,東証1,金属製品
5990,スーパーツール,ｼﾞｬｽﾀﾞｯｸ,金属製品
5991,日本発條,東証1,金属製品
5992,中央発條,東証1,金属製品
5994,ファインシンター,東証2,金属製品
5997,協立エアテック,ｼﾞｬｽﾀﾞｯｸ,金属製品
5998,アドバネクス,東証1,金属製品
5999,イハラサイエンス,ｼﾞｬｽﾀﾞｯｸ,金属製品
6005,三浦工業,東証1,機械
6013,タクマ,東証1,機械
6016,ジャパンエンジンコーポレーション,東証2,輸送用機器
6018,阪神内燃機工業,東証2,輸送用機器
6022,赤阪鐵工所,東証2,機械
6023,ダイハツディーゼル,東証2,輸送用機器
6026,GMO TECH,マザーズ,サービス業
6027,弁護士ドットコム,マザーズ,サービス業
6028,テクノプロ･HD,東証1,サービス業
6029,アトラ,東証1,サービス業
6030,アドベンチャー,マザーズ,サービス業
6031,サイジニア,マザーズ,サービス業
6032,インターワークス,東証1,サービス業
6033,エクストリーム,マザーズ,サービス業
6034,MRT,マザーズ,サービス業
6035,アイ･アールジャパンHD,東証1,サービス業
6036,KeePer技研,東証1,サービス業
6037,ファーストロジック,東証1,サービス業
6038,イード,マザーズ,サービス業
6039,日本動物高度医療センター,マザーズ,サービス業
